x, y,
-12144532, 5317954,
-12144321, 5317819,
-12143105, 5316905,
-12142056, 5316200,
-12141668, 5315878,
-12141072, 5315317,
-12140273, 5314336,
-12139917, 5313979,
-12139346, 5313479,
-12138996, 5313114,
-12137450, 5311445,
-12136108, 5309933,
-12135518, 5309112,
-12134757, 5308101,
-12134327, 5307478,
-12133712, 5306374,
-12133136, 5305537,
-12132867, 5305113,
-12132852, 5304859,
-12132721, 5304658,
-12132556, 5304471,
-12131866, 5303736,
-12130612, 5302478,
-12128931, 5300951,
-12127638, 5299744,
-12127064, 5299254,
-12126188, 5298725,
-12126003, 5298562,
-12125709, 5298165,
-12125452, 5297733,
-12124759, 5296369,
-12123423, 5293932,
-12123027, 5293288,
-12122111, 5292080,
-12121834, 5291660,
-12121580, 5291224,
-12120609, 5289452,
-12119153, 5287090,
-12118688, 5286186,
-12118548, 5285981,
-12118205, 5285617,
-12117059, 5284624,
-12116526, 5284088,
-12115530, 5282949,
-12114578, 5281774,
-12114441, 5281562,
-12114329, 5281335,
-12114232, 5281101,
-12113817, 5279903,
-12113711, 5279677,
-12113586, 5279462,
-12113144, 5278854,
-12112176, 5277684,
-12111594, 5276859,
-12111201, 5276213,
-12111088, 5275989,
-12110694, 5275059,
-12110204, 5274179,
-12109803, 5273536,
-12109521, 5273119,
-12108470, 5271694,
-12107983, 5271115,
-12107451, 5270588,
-12107048, 5270295,
-12106168, 5269787,
-12105740, 5269521,
-12105350, 5269208,
-12105008, 5268838,
-12104365, 5268050,
-12104012, 5267699,
-12103806, 5267564,
-12103071, 5267319,
-12102860, 5267193,
-12102516, 5266836,
-12102015, 5266280,
-12101367, 5265513,
-12099631, 5263340,
-12098990, 5262561,
-12097471, 5260883,
-12095556, 5258551,
-12095354, 5258394,
-12095124, 5257954,
-12094718, 5257032,
-12094441, 5256326,
-12093928, 5254894,
-12093789, 5254409,
-12093695, 5253920,
-12093666, 5253426,
-12093705, 5252925,
-12093864, 5251919,
-12093937, 5251143,
-12093991, 5250895,
-12094096, 5250678,
-12094401, 5250292,
-12095766, 5248701,
-12096142, 5247995,
-12097247, 5246714,
-12097812, 5245596,
-12098091, 5244113,
-12098382, 5242153,
-12099156, 5239909,
-12100617, 5238578,
-12103858, 5237294,
-12106028, 5236042,
-12108725, 5235100,
-12110877, 5234501,
-12112716, 5234549,
-12114742, 5234244,
-12115688, 5234387,
-12115821, 5234391,
-12117471, 5233957,
-12118881, 5234193,
-12120622, 5233702,
-12122839, 5234170,
-12124737, 5233572,
-12126201, 5232946,
-12127760, 5232393,
-12129704, 5232129,
-12132079, 5232489,
-12133405, 5232734,
-12136444, 5232917,
-12137537, 5233962,
-12138627, 5235606,
-12139441, 5237116,
-12139990, 5238578,
-12140355, 5240578,
-12140624, 5242506,
-12142104, 5243841,
-12143629, 5243034,
-12144418, 5241900,
-12145990, 5241427,
-12147884, 5242021,
-12149935, 5242507,
-12152120, 5242718,
-12154606, 5243229,
-12155675, 5245303,
-12156095, 5245691,
-12156963, 5246094,
-12157209, 5246262,
-12157850, 5246467,
-12158147, 5246472,
-12158570, 5246579,
-12158714, 5246549,
-12159532, 5246693,
-12159707, 5246751,
-12159948, 5246883,
-12160283, 5247135,
-12160376, 5247152,
-12160525, 5247355,
-12160678, 5247453,
-12161326, 5247583,
-12161768, 5247558,
-12161896, 5247614,
-12162022, 5247780,
-12162571, 5247925,
-12162779, 5248153,
-12163113, 5248088,
-12163305, 5248135,
-12163518, 5248390,
-12163920, 5248674,
-12164143, 5248744,
-12164225, 5248797,
-12164359, 5248962,
-12164864, 5248929,
-12164930, 5248864,
-12165067, 5248854,
-12165205, 5249037,
-12165301, 5249061,
-12165414, 5249008,
-12165442, 5248885,
-12165422, 5248612,
-12165380, 5248443,
-12165365, 5248271,
-12165301, 5248091,
-12165269, 5247863,
-12165315, 5247271,
-12165391, 5247132,
-12165526, 5247104,
-12165736, 5247118,
-12166004, 5247287,
-12166204, 5247354,
-12166457, 5247301,
-12166598, 5247127,
-12166590, 5246827,
-12166734, 5246677,
-12166898, 5246672,
-12167253, 5246544,
-12167699, 5246500,
-12167925, 5246382,
-12167996, 5246329,
-12168192, 5246241,
-12168373, 5246173,
-12168543, 5246141,
-12168709, 5246272,
-12168883, 5246455,
-12169036, 5246554,
-12169321, 5246480,
-12169553, 5246645,
-12169745, 5246592,
-12170033, 5246294,
